dsp_pedon_id,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,soc_stock_0_30cm,soc_stock_30_50cm,soc_stock_50_100cm,soc_stock_100cm,mat,map,climate,soc_pct,bulk_density,tn_pct,kssl_wsa,yoder_agg_stab_mwd,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,clay_combined,clay_src
KeC1-1,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,62.30092353,23.200100111160005,43.65630819,129.1573318,11.28989983,549.9259644,cool_dry,2.035,1.265462091,NA,11.666666665000001,0.410197189,NA,1.0341866450000001,66.13653053,75.83332918,36.41211197,271.8693713,29.78095661,7.584295459,477.6247855,7.415989279,24.7,kssl
KeC1-2,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,52.18459362989999,16.87379531,38.24455289,107.3029418,11.28989983,549.9259644,cool_dry,1.92,1.2908941079999998,NA,6.666666667,0.550889853,NA,0.8991228929999999,55.42947024,76.13022329,27.86278728,240.0795148,24.46620202,5.768817094,409.59226939999996,6.1810790435000005,23.95,kssl
KeC1-3,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,51.14188832,18.99819181,41.893924378866664,112.03400450690668,11.28989983,549.9259644,cool_dry,1.9500000000000002,1.085684039,NA,9.999999999,0.496710501,NA,0.9778034290000001,64.81658881499999,64.84359712,43.55477429,318.33209865000003,37.97535574,6.912187209,455.9599728,6.816515357,24.75,kssl
KeC2-1,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,47.21841589,20.01302552,51.544102566620005,118.77554397277001,11.05000019,521.0280151,cool_dry,2.05,1.037450904,NA,6.416666666499999,0.557532127,NA,4.335516975,141.6964659,107.49985204999999,38.025532795000004,376.5520545,86.58047806,6.033346334,411.069786,6.878442706,23.5,kssl
KeC2-2,KeC2,NA,NA,-101.0632519,39.3815262,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,59.30621541,22.43674901,48.83682833,130.5797928,11.05000019,521.0280151,cool_dry,1.94,1.416738744,NA,8,0.461425202,NA,0.812063048,113.98761426000002,85.31926395,39.81439357,382.3744337,81.97776186,6.752551136,356.5999015,6.683773781,23.799999999999997,kssl
KeC2-3,KeC2,NA,NA,-101.0629297,39.3816973,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,53.67821837,24.482043534400002,72.69514068,150.85540258499998,11.05000019,521.0280151,cool_dry,1.81,1.2812474809999999,NA,11.75,0.509871988,NA,0.760746675,104.6722434,60.513779764999995,42.74982665500001,342.9619953,61.44433363,8.483693264500001,409.43414559999997,5.889433316,23.75,kssl
KeC3-1,KeC3,NA,NA,-100.868944,39.978288,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,73.83453891367999,15.14867841,35.15304507,124.13626239697999,10.93999958,533.5139771,cool_dry,3.76,1.3557896,NA,4.333333333,0.306574331,NA,1.190274029,122.1131316,67.21578894999999,272.8260855,654.7388133500001,28.59834729,NA,541.0875974,4.295673554,29,kssl
KeC3-2,KeC3,NA,NA,-100.868986,39.978452,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,35.25026651,21.25831613,30.886527002500003,87.39510964,10.93999958,533.5139771,cool_dry,1.0899999999999999,1.32421882,NA,3.75,0.295347531,NA,1.0297222645000002,114.59680528999999,72.01130637,76.6991161,274.8457128,23.06607195,NA,276.9323987,2.510759503,24.35,kssl
KeC3-3,KeC3,NA,NA,-100.8687585,39.9783659,NA,Keith,48,BAU,BAU,CROP,Till,Till converting to no-till,"Conventional tillage estimated at every two years until 2018, 2018 was first year of no-till.  Recently purchased fields.""Tillage Until 2018"" ",AG-CROP,NA,KansasState,Keith,39.85286964,20.12120899,26.42080732,86.39488596,10.93999958,533.5139771,cool_dry,1.13,1.2312604125000002,NA,4.583333333,0.266672704,NA,0.9535147134999999,122.5280698,73.02006322,71.35681847000001,245.95439,35.82573415,NA,326.1526378,2.929923254,25.15,kssl
KeCF1-1,KeCF1,NA,NA,-100.5431538,39.2447359,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,42.219700312600004,17.100806380079998,31.608557115960004,90.92906381,11.30999947,551.4630127,cool_dry,1.505,1.378152236,NA,5.85,0.726919471,NA,0.88110732,66.74831546,50.13788362,22.01910874,267.7784405,29.15682884,9.973873631,382.9564557,6.162275728,18.7,kssl
KeCF1-2,KeCF1,NA,NA,-100.5430643,39.2450134,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,38.81084912,13.420515078200001,26.95924519,79.19060938626001,11.30999947,551.4630127,cool_dry,1.4500000000000002,1.315449159,NA,9.166666667,0.6841602904999999,NA,0.908641809,33.01117949,27.171964205000002,29.94804221,193.06494535000002,17.33714564,7.4933010509999995,311.29531069999996,5.767813032499999,19.200000000000003,kssl
KeCF1-3,KeCF1,NA,NA,-100.5427146,39.2447102,NA,Keith,49,SHM - no-till,SHM,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,NA,KansasState,Keith,40.951125163520004,19.75731524,35.2069274,95.9153678,11.30999947,551.4630127,cool_dry,1.54,1.161103124,NA,3.333333334,0.79519653,NA,0.8919565110000001,66.92297455,67.99149815999999,33.06888476,251.7737002,26.709872750000002,19.45579687,351.4758098,5.324982352,22.5,kssl
